Transcription-Units,Promoter,Absolute-Plus-1-Position,Binds-Sigma-Factor,Genes,Gene left,Gene right,Transcription-Direction
TU-8387,PM-8770,3167771,RPOD-MONOMER,EG12658 // G7575,3168506 // 3167850,3169855 // 3168509,+
TU0-1881,PM0-2061,2660221,RPOD-MONOMER,EG12132 // G7324 // G7325 // G7326,2657585 // 2657925 // 2658339 // 2659665,2657908 // 2658311 // 2659553 // 2660153,-
TU00089,PM00127,2685525,RPOD-MONOMER,EG10384,2685092,2685430,-
TU0-5901,PM00034,4056245,RPOD-MONOMER,EG10383,4054648,4056057,-
TU-8405,PM-8790,1964240,RPOD-MONOMER,G7027 // G370 // G7028,1960604 // 1960996 // 1963067,1960996 // 1963074 // 1964215,-
TU0-2302,PM0-2482,222714,RPOD-MONOMER,EG11504 // EG11737 // EG11621,220113 // 220968 // 221614,220928 // 221621 // 222645,-
TU00492,PM00647,779737,RPOD-MONOMER,EG30055 // EG30109 // EG30057,779777 // 779988 // 780066,779852 // 780063 // 780141,+
TU00106,PM00148,753990,RPOD-MONOMER,EG10402,752408,753691,-
TU0-13130,PM0-36215,1123326,RPOD-MONOMER,EG12688,1122630,1123277,-
TU00508,PM00663,925230,RPOD-MONOMER,EG30096,925107,925194,-
TU00122,PM00165,3567412,RPOD-MONOMER,EG10380 // EG10377 // EG10379,3562157 // 3564623 // 3566056,3564604 // 3566056 // 3567351,-
TU0-6443,PM00328,185977,RPOD-MONOMER,EG10207,185123,185947,-
TU0-3103,PM00480,3963710,RPOD-MONOMER,EG11031,3963784,3964113,+
TU00524,PM00143,754181,RPOD-MONOMER,EG10933 // EG10934 // EG10931 // EG10932 // EG10979 // EG10980 // EG10981 // EG10982,754400 // 754783 // 755130 // 756912 // 757929 // 760745 // 762237 // 763403,754789 // 755130 // 756896 // 757628 // 760730 // 761962 // 763403 // 764272,+
TU0-14376,PM0-9516,3453541,RPOD-MONOMER,EG11263 // G7701,3451530 // 3451951,3451949 // 3453420,-
TU182,PM241,4540717,RPOD-MONOMER,EG10311 // EG10315 // EG10314 // EG10313 // EG10310 // EG11974 // EG10308,4543119 // 4546831 // 4546308 // 4545765 // 4542327 // 4541751 // 4541138,4545755 // 4547733 // 4546811 // 4546295 // 4543052 // 4542290 // 4541686,+
TU00155,PM00212,4328343,RPOD-MONOMER,EG11612,4328525,4330027,+
TU0-6564,PM00500,4272115,RPOD-MONOMER,EG10976,4272148,4272684,+
TU0-14399,PM0-9557,28288,RPOD-MONOMER,EG10206,28374,29195,+
TU305,PM383,1266122,RPOD-MONOMER,EG10518 // EG11251 // G6630,1267388 // 1266543 // 1266147,1268242 // 1267352 // 1266539,+
TU00171,PM00234,2940661,RPOD-MONOMER,EG11795,2939672,2940589,-
TU0-6646,PM00507,4617590,RPOD-MONOMER,EG10222 // EG10220,4618906 // 4617626,4619625 // 4618849,+
TU0-14421,PM0-9622,2698540,RPOD-MONOMER,G0-10598,2698542,2698618,+
TU00187,PM00260,1697252,RPOD-MONOMER,EG10557,1696176,1697204,-
TU0-13600,PM0-36189,2464537,RPOD-MONOMER,G7218,2464567,2465724,+
TU0-6702,PM00350,754627,RPOD-MONOMER,EG10932 // EG10931 // EG10934,756912 // 755130 // 754783,757628 // 756896 // 755130,+
TU0-36435,PM0-36213,4233895,RPOD-MONOMER,EG11926 // EG11925 // EG11924 // EG11923,4235657 // 4234920 // 4234285 // 4233929,4237753 // 4235657 // 4234923 // 4234171,+
TU462,PM562,1236761,RPOD-MONOMER,EG11408 // EG11407,1238102 // 1236794,1239172 // 1238092,+
TU00203,PM00287,1261400,RPOD-MONOMER,EG10774,1260151,1261098,-
TU00220,PM00095,4630727,RPOD-MONOMER,EG11029,4630783,4631109,+
TU0-7182,PM0-7522,3851215,RPOD-MONOMER,G0-10202,3851141,3851215,-
TU00236,PM962,4391700,RPOD-MONOMER,EG11757 // EG11758 // EG11363 // EG11281 // EG10595 // EG10438 // EG10437 // EG10436 // EG10435,4393608 // 4392089 // 4394088 // 4395435 // 4397275 // 4398311 // 4398695 // 4400061 // 4401323,4394069 // 4393636 // 4395425 // 4397282 // 4398225 // 4398619 // 4399975 // 4401320 // 4402327,+
TU0-7501,PM0-7861,2220142,RPOD-MONOMER,EG12013,2217714,2220011,-
TU00252,PM0-8750,2063898,RPOD-MONOMER,EG12151 // EG12150 // EG13238,2061412 // 2062503 // 2063243,2062491 // 2063246 // 2063788,-
TU0-7745,PM0-9855,2491461,RPOD-MONOMER,G7237,2490026,2491276,-
TU0-14545,PM0-9828,1582052,RPOD-MONOMER,G6789 // G6790,1580950 // 1581786,1581711 // 1581983,-
TU0-42482,PM0-46187,1684678,RPOD-MONOMER,EG10358,1683209,1684612,-
TU00304,PM186,3399151,RPOD-MONOMER,EG10610 // EG10609 // EG10608,3396409 // 3396897 // 3398066,3396897 // 3398000 // 3399109,-
TU0-8243,PM0-8623,1946698,RPOD-MONOMER,EG10925 // EG11137 // EG11138,1944879 // 1945435 // 1946204,1945400 // 1946175 // 1946656,-
TU0-12943,PM0-9394,480018,RPOD-MONOMER,EG12429 // EG10439,479558 // 479314,479932 // 479532,-
TU0-42510,PM00094,1321132,RPOD-MONOMER,EG11274,1321062,1321106,-
TU0-8325,PM0-8705,484923,RPOD-MONOMER,EG12116,484985,485632,+
TU0-42533,PM0-46271,1063142,RPOD-MONOMER,EG12194 // EG12193,1061773 // 1062078,1062078 // 1062998,-
TU0-42560,PM0-46305,3378720,RPOD-MONOMER,G7682,3378765,3380132,+
TU00358,PM0-3841,161515,RPOD-MONOMER,EG10230 // EG10949,160149 // 160782,160604 // 161486,-
TU0-8362,PM0-8744,159195,RPOD-MONOMER,EG11374 // EG10690,157253 // 157729,157732 // 159126,-
TU0-42582,PM00033,791309,RPOD-MONOMER,EG10366 // EG10362,789206 // 790262,790252 // 791278,-
TU0-8472,PM0-8908,2947178,RPOD-MONOMER,EG10063,2947264,2948595,+
TU0-14741,PM0-10363,4484124,RPOD-MONOMER,EG10694,4482463,4483974,-
TU00012,PM00014,121671,RPOD-MONOMER,EG10084,120178,121551,-
TU0-14769,PM0-10451,312509,RPOD-MONOMER,G0-10654,312365,312466,-
TU00028,PM00035,4054394,RPOD-MONOMER,EG10385 // EG10387,4051892 // 4053313,4053301 // 4054362,-
TU0-4906,PM00578,1860621,RPOD-MONOMER,EG10367,1860795,1861790,+
TU0-13845,PM0-10278,3192887,RPOD-MONOMER,G0-8913,3192743,3192887,-
TU00044,PM00060,1279030,RPOD-MONOMER,EG10638 // EG10639 // EG10641 // EG10640,1279087 // 1282827 // 1284362 // 1285072,1282830 // 1284365 // 1285072 // 1285749,+
TU0-5041,PM0-5285,4552481,RPOD-MONOMER,EG20249,4552599,4553372,+
TU0-14263,PM00154,3925054,RPOD-MONOMER,EG10375 // EG11199 // EG10093,3921767 // 3924035 // 3924568,3923656 // 3924478 // 3925026,-
TU00445,PM00594,922303,RPOD-MONOMER,EG10156,922487,924763,+
TU00060,PM00083,1121866,RPOD-MONOMER,EG10806,1120784,1121830,-
TU0-1741,PM181,1337214,RPOD-MONOMER,EG11331,1336594,1337184,-
TU0-14290,PM0-9420,3338233,RPOD-MONOMER,G7662 // EG12802,3339288 // 3338297,3340274 // 3339274,+
TU00463,PM00618,3490357,RPOD-MONOMER,EG10757,3489747,3490319,-
TU00076,PM00104,2980230,RPOD-MONOMER,EG10056,2978786,2980204,-
TU-8390,PM-8773,925908,RPOD-MONOMER,EG10504,925448,925666,-
TU0-1962,PM166,3126098,RPOD-MONOMER,G7542 // EG20080 // G7543 // G0-8601 // G7544 // G7545,3117619 // 3119656 // 3121849 // 3122258 // 3123492 // 3124544,3119301 // 3121827 // 3122253 // 3123481 // 3124544 // 3126043,-
TU00479,PM00409,2531523,RPOD-MONOMER,EG10788 // EG10789 // EG10165,2531786 // 2532088 // 2533856,2532043 // 2533815 // 2534365,+
TU00092,PM00131,1015721,RPOD-MONOMER,EG10273,1015175,1015693,-
TU0-13502,PM0-10277,2151335,RPOD-MONOMER,G0-8884,2151335,2151478,+
TU0-5964,PM921,956818,RPOD-MONOMER,EG10946,956876,957964,+
TU-8411,PM-8797,2011170,RPOD-MONOMER,G379 // G378 // G377 // EG11656 // EG11654 // EG11347,2016410 // 2015970 // 2014578 // 2013892 // 2012904 // 2011253,2017537 // 2016413 // 2015951 // 2014578 // 2013899 // 2012911,+
TU0-2405,PM0-2585,367752,RPOD-MONOMER,EG10525 // G6201,365652 // 366811,366734 // 367644,-
TU00495,PM00654,2518946,RPOD-MONOMER,EG30110 // EG30113 // EG30114 // EG30056,2518953 // 2519073 // 2519195 // 2519275,2519028 // 2519148 // 2519270 // 2519350,+
TU00109,PM00017,29619,RPOD-MONOMER,EG10134 // EG10135,29651 // 30817,30799 // 34038,+
TU0-6401,PM00320,49799,RPOD-MONOMER,EG10326,49823,50302,+
TU0-2621,PM0-2801,1762442,RPOD-MONOMER,G6905 // G6906 // G6907 // G6908 // G6909 // EG11378,1756898 // 1757327 // 1758544 // 1759790 // 1760546 // 1762042,1757314 // 1758547 // 1759815 // 1760536 // 1762033 // 1762410,-
TU00511,PM00666,1286888,RPOD-MONOMER,EG11016 // EG30108 // EG30106,1286310 // 1286467 // 1286761,1286411 // 1286551 // 1286845,-
TU101,PM101,4549541,RPOD-MONOMER,EG20248 // EG11066,4550924 // 4549659,4552384 // 4550843,+
TU00141,PM00193,3530701,RPOD-MONOMER,EG10688,3530840,3532462,+
TU0-1192,PM0-1352,3426962,RPOD-MONOMER,EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087,3421445 // 3421602 // 3421690 // 3421902 // 3424980 // 3425098 // 3425243,3421564 // 3421677 // 3421809 // 3424805 // 3425055 // 3425174 // 3426784,-
TU0-3401,PM0-3601,3579039,RPOD-MONOMER,G0-8872,3578950,3579039,-
TU0-14381,PM0-9527,1643927,RPOD-MONOMER,EG11130 // EG11131 // EG10836,1643143 // 1643370 // 1643657,1643298 // 1643657 // 1643896,-
TU0-13965,PM0-9588,3667284,RPOD-MONOMER,EG12244,3665814,3667211,-
TU00158,PM00218,1165215,RPOD-MONOMER,EG10649,1165308,1166612,+
TU0-6582,PM0-6882,3276725,RPOD-MONOMER,G7630,3275878,3276687,-
TU0-14404,PM0-9564,2589582,RPOD-MONOMER,G0-10463 // EG10208,2590784 // 2589629,2590984 // 2590756,+
TU343,PM00440,3316319,RPOD-MONOMER,EG30061,3316235,3316311,-
TU0-8661,PM0-9097,4014366,RPOD-MONOMER,G7804,4013377,4014192,-
TU0-12809,PM0-9872,106508,RPOD-MONOMER,EG10265,106557,107474,+
TU0-14424,PM0-9625,4526000,RPOD-MONOMER,G0-10609,4526000,4526089,+
TU368,PM449,3740641,RPOD-MONOMER,EG12278,3739707,3740555,-
TU0-13999,PM0-9640,3788172,RPOD-MONOMER,EG11266,3787070,3788104,-
TU00190,PM00265,1617117,RPOD-MONOMER,EG11435 // EG11434 // EG11599,1617144 // 1617598 // 1618013,1617578 // 1617981 // 1618231,+
TU00206,PM00290,3931345,RPOD-MONOMER,EG10819 // EG10817 // EG10814 // EG10816 // EG10815 // EG10818,3936250 // 3931374 // 3931801 // 3933311 // 3934301 // 3935317,3937242 // 3931793 // 3933306 // 3934276 // 3935191 // 3936246,+
TU0-7221,PM0-7561,347695,RPOD-MONOMER,G6195,346081,347667,-
TU592,PM692,3740697,RPOD-MONOMER,EG12281 // EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12280 // EG12279,3742351 // 3748109 // 3747255 // 3746600 // 3745107 // 3744117 // 3742827 // 3741766 // 3740756,3742824 // 3748804 // 3748115 // 3747262 // 3746603 // 3745103 // 3744104 // 3742233 // 3741754,+
TU00239,PM336,3646535,RPOD-MONOMER,EG12235 // EG12236 // EG12237,3646551 // 3646958 // 3648260,3646904 // 3648247 // 3648685,+
TU00255,PM00540,1236748,RPOD-MONOMER,EG11407 // EG11408,1236794 // 1238102,1238092 // 1239172,+
TU0-14548,PM0-9831,4397824,RPOD-MONOMER,EG10435 // EG10436 // EG10437 // EG10438,4401323 // 4400061 // 4398695 // 4398311,4402327 // 4401320 // 4399975 // 4398619,+
TU791,PM162,2520527,RPOD-MONOMER,EG11146,2519615,2520499,-
TU00272,PM-8782,1130108,RPOD-MONOMER,G6562 // G369 // G357,1128637 // 1129058 // 1129427,1129053 // 1129351 // 1130086,-
TU0-42466,PM0-46165,1994891,RPOD-MONOMER,EG10935,1994134,1994856,-
TU0-14573,PM0-9880,3320609,RPOD-MONOMER,EG30050 // EG12095,3320094 // 3320195,3320180 // 3320527,-
TU0-8149,PM0-8529,601152,RPOD-MONOMER,EG10708,601182,602558,+
TU0-42486,PM00249,148,RPOD-MONOMER,EG11277,190,255,+
TU0-8261,PM0-8641,1808194,RPOD-MONOMER,G6933,1808235,1808825,+
TU0-42513,PM00040,3851046,RPOD-MONOMER,EG11275,3850913,3851011,-
TU0-42537,PM541,1150798,RPOD-MONOMER,EG50003,1150838,1151074,+
TU00344,PM0-10343,3820100,RPOD-MONOMER,EG10899 // EG10966 // EG10967 // EG10829,3820129 // 3820423 // 3822538 // 3823233,3820404 // 3822531 // 3823227 // 3825314,+
TU0-14681,PM0-10207,160657,RPOD-MONOMER,EG11362 // EG10230,159186 // 160149,160112 // 160604,-
TU0-14175,PM0-10361,4484162,RPOD-MONOMER,EG10694,4482463,4483974,-
TU0-13001,PM0-9885,656473,RPOD-MONOMER,EG12179,656515,656724,+
TU00378,PM00517,953726,RPOD-MONOMER,EG10701 // EG11258,950495 // 952832,952777 // 953689,-
TU0-13792,PM0-46275,3053495,RPOD-MONOMER,EG11323 // EG10697 // EG11324 // EG11333,3052888 // 3051537 // 3050362 // 3049137,3053466 // 3052862 // 3051540 // 3050339,-
TU0-964,PM0-1124,4453783,RPOD-MONOMER,EG12440,4453808,4455181,+
TU0-4483,PM0-4723,4311280,RPOD-MONOMER,EG11827,4311373,4311822,+
TU00394,PM00538,2796578,RPOD-MONOMER,EG11554,2796113,2796517,-
TU00015,PM00020,2244951,RPOD-MONOMER,EG10155,2242800,2244791,-
TU0-13420,PM0-46155,1903483,RPOD-MONOMER,G6999,1903712,1904278,+
TU0-14775,PM0-10457,2689362,RPOD-MONOMER,G0-8910,2689179,2689362,-
TU00031,PM00038,3559994,RPOD-MONOMER,EG10394,3560036,3561541,+
TU00431,PM00451,3638006,RPOD-MONOMER,EG11390,3638134,3638568,+
TU00047,PM00063,2342777,RPOD-MONOMER,EG12360 // EG10660 // EG10661,2346536 // 2342887 // 2345406,2346790 // 2345172 // 2346536,+
TU00466,PM00621,3490471,RPOD-MONOMER,EG10757,3489747,3490319,-
TU00079,PM00108,2530399,RPOD-MONOMER,EG10192,2530431,2531402,+
TU0-2,PM0-3,2749781,RPOD-MONOMER,EG10831,2749817,2751478,+
TU00482,PM00410,2531623,RPOD-MONOMER,EG10788 // EG10789 // EG10165,2531786 // 2532088 // 2533856,2532043 // 2533815 // 2534365,+
TU0-2441,PM0-2621,4465298,RPOD-MONOMER,EG12202,4464322,4465269,-
TU0-14327,PM0-10541,2763916,RPOD-MONOMER,G7366 // G7365,2765006 // 2763940,2765377 // 2765013,+
TU00498,PM00650,2057869,RPOD-MONOMER,EG30021,2057875,2057950,+
TU00112,PM00153,3925152,RPOD-MONOMER,EG10091,3925178,3926170,+
TU0-6405,PM00506,4481950,RPOD-MONOMER,EG11067,4479005,4481860,-
TU0-0,PM0-1,3495776,RPOD-MONOMER,EG10188,3495850,3497223,+
TU00514,PM00669,2516275,RPOD-MONOMER,EG30012 // EG30011,2516063 // 2516178,2516138 // 2516253,-
TU00128,PM00172,2932141,RPOD-MONOMER,EG10352 // EG10349 // EG10350 // EG10355 // EG10353,2932257 // 2933606 // 2935460 // 2936910 // 2937390,2933573 // 2935381 // 2936908 // 2937332 // 2938121,+
TU0-13539,PM0-10286,2241870,RPOD-MONOMER,EG11375 // EG11290,2241006 // 2239832,2241674 // 2240989,-
TU0-1142,PM0-1302,1156849,RPOD-MONOMER,EG10787,1157092,1158525,+
TU00144,PM00196,2541579,RPOD-MONOMER,EG10193 // EG10183 // EG10198 // EG10197 // EG10195,2536694 // 2537739 // 2538826 // 2539701 // 2540534,2537605 // 2538836 // 2539701 // 2540534 // 2541550,-
TU0-8630,PM0-10418,4603800,RPOD-MONOMER,G0-10474,4603827,4604063,+
TU0-6550,PM330,2518798,RPOD-MONOMER,EG10407,2517279,2518694,-
TU0-1195,PM00462,3880585,RPOD-MONOMER,EG10828 // EG10242,3878171 // 3879244,3879244 // 3880344,-
TU0-14387,PM0-9540,3399378,RPOD-MONOMER,EG10610 // EG10609 // EG10608,3396409 // 3396897 // 3398066,3396897 // 3398000 // 3399109,-
TU00161,PM00221,2261619,RPOD-MONOMER,EG10336 // EG10337 // G7990,2257741 // 2259449 // 2260387,2259432 // 2260387 // 2261517,-
TU0-6622,PM00615,461043,RPOD-MONOMER,G6242,461139,463010,+
TU0-14407,PM0-9568,2836127,RPOD-MONOMER,EG11551,2833195,2835447,-
TU346,PM201,4638558,RPOD-MONOMER,EG10061,4637613,4638329,-
TU00177,PM00247,3534707,RPOD-MONOMER,EG10269 // EG10672,3532538 // 3533887,3533890 // 3534606,-
TU0-12811,PM0-10364,117705,RPOD-MONOMER,EG12107 // EG12106 // EG11798,117109 // 115714 // 114522,117549 // 117099 // 115724,-
TU0-36422,PM0-36188,1608744,RPOD-MONOMER,EG11065,1607253,1608704,-
TU0-14431,PM0-9653,4348588,RPOD-MONOMER,G7826,4347338,4348057,-
TU00193,PM00272,3770211,RPOD-MONOMER,EG10615 // EG10616 // EG11965,3770304 // 3772447 // 3773595,3772217 // 3773595 // 3774182,+
TU0-6881,PM00321,85420,RPOD-MONOMER,EG10499 // EG10500,87357 // 85630,87848 // 87354,+
TU0-1283,PM00348,709946,RPOD-MONOMER,EG10359,709423,709869,-
TU488,PM588,460619,RPOD-MONOMER,EG10467,460675,460947,+
TU00209,PM00295,1934400,RPOD-MONOMER,EG11221,1932863,1934338,-
TU00226,PM00006,4152920,RPOD-MONOMER,EG11286,4151719,4152870,-
TU702,PM00423,2802777,RPOD-MONOMER,EG10773 // EG10772 // EG10771,2805154 // 2804032 // 2802837,2806146 // 2805096 // 2804039,+
TU00258,PM0-9371,3431672,RPOD-MONOMER,EG11440 // EG11268,3431712 // 3432236,3432221 // 3433183,+
TU794,PM262,1333805,RPOD-MONOMER,EG11325,1333855,1336530,+
TU0-13307,PM0-10505,1620612,RPOD-MONOMER,G0-8892,1620670,1620765,+
TU0-12913,PM0-9521,400543,RPOD-MONOMER,EG11256,400610,400870,+
TU872,PM173,3517402,RPOD-MONOMER,EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081,3510656 // 3511653 // 3512404 // 3513099 // 3514042 // 3515420 // 3516565,3511660 // 3512411 // 3513081 // 3513935 // 3515328 // 3516508 // 3517086,-
TU0-14111,PM0-9414,4233881,RPOD-MONOMER,EG11923,4233929,4234171,+
TU0-8788,PM0-10501,2023337,RPOD-MONOMER,G7047,2023251,2023337,-
TU00310,PM00592,2403184,RPOD-MONOMER,EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082,2388070 // 2389534 // 2391227 // 2393065 // 2393364 // 2393930 // 2394487 // 2395461 // 2398240 // 2399574 // 2400077 // 2401973 // 2402651,2389527 // 2391063 // 2393068 // 2393367 // 2393918 // 2394472 // 2395464 // 2398187 // 2399577 // 2400074 // 2401867 // 2402635 // 2403094,-
TU0-8264,PM0-9611,4577940,RPOD-MONOMER,G7940,4577522,4577863,-
TU0-12951,PM0-9365,497255,RPOD-MONOMER,EG10431,497279,498241,+
TU0-42516,PM00474,3948241,RPOD-MONOMER,EG11270,3948345,3948443,+
TU0-13744,PM00428,2957033,RPOD-MONOMER,EG10786 // EG10824 // EG10826,2954018 // 2950483 // 2948657,2956906 // 2954025 // 2950483,-
TU0-8824,PM0-9260,1435145,RPOD-MONOMER,G0-8901,1435145,1435253,+
TU0-42543,PM0-1781,3371642,RPOD-MONOMER,EG10637,3370705,3371598,-
TU00347,PM00444,3451464,RPOD-MONOMER,EG10916 // EG10887 // EG10877 // EG10902 // EG10882 // EG10918 // EG10865 // EG10883 // EG10867 // EG10866 // EG10909,3446336 // 3446590 // 3446781 // 3447204 // 3447923 // 3448270 // 3448565 // 3449404 // 3449703 // 3450319 // 3450981,3446590 // 3446781 // 3447191 // 3447905 // 3448255 // 3448548 // 3449386 // 3449706 // 3450308 // 3450948 // 3451292,-
TU0-14687,PM0-10220,1724045,RPOD-MONOMER,G6890 // G6889,1724683 // 1724047,1725780 // 1724646,+
TU0-14716,PM0-10279,3193262,RPOD-MONOMER,G0-10602,3193119,3193262,-
TU0-4504,PM0-4744,4311155,RPOD-MONOMER,EG11957 // EG11958 // EG11959 // EG12458 // G7821,4305806 // 4306512 // 4307471 // 4309130 // 4310124,4306501 // 4307492 // 4309003 // 4310065 // 4311014,-
TU00397,PM00541,4465294,RPOD-MONOMER,EG12202,4464322,4465269,-
TU00018,PM00025,4615301,RPOD-MONOMER,EG10221 // EG10219 // EG10220 // EG10222,4615346 // 4616252 // 4617626 // 4618906,4616125 // 4617574 // 4618849 // 4619625,+
TU00034,PM00043,4131835,RPOD-MONOMER,EG10511,4131858,4134038,+
TU00434,PM00434,3208734,RPOD-MONOMER,EG10920 // EG10239 // EG10896,3208803 // 3209129 // 3211069,3209018 // 3210874 // 3212910,+
TU00050,PM00066,986315,RPOD-MONOMER,EG10671,985117,986205,-
TU0-5101,PM00399,2099348,RPOD-MONOMER,EG10411,2097886,2099292,-
TU0-14272,PM0-9363,1143985,RPOD-MONOMER,EG10859,1140405,1143590,-
TU00066,PM00092,1020170,RPOD-MONOMER,EG10984,1019633,1020142,-
TU0-1783,PM0-1963,3084599,RPOD-MONOMER,EG10589,3084728,3085882,+
TU00082,PM00113,552365,RPOD-MONOMER,EG10796 // EG10793,550750 // 551814,551817 // 552323,-
TU0-2041,PM0-2221,141360,RPOD-MONOMER,EG20098,141431,141967,+
TU0-6042,PM0-4201,621481,RPOD-MONOMER,EG11104,621523,622773,+
TU00501,PM00656,3108387,RPOD-MONOMER,EG30065,3108388,3108463,+
TU00115,PM00156,328585,RPOD-MONOMER,EG10109 // EG10110 // EG10111,324801 // 326485 // 327971,326471 // 327957 // 328558,-
TU0-6409,PM331,2518752,RPOD-MONOMER,EG10407,2517279,2518694,-
TU0-2707,PM00488,4126552,RPOD-MONOMER,EG10588,4126101,4126418,-
TU00517,PM00440,3316319,RPOD-MONOMER,EG10505 // EG10665 // EG11179 // EG30061,3311364 // 3314061 // 3315576 // 3316235,3314036 // 3315548 // 3316028 // 3316311,-
TU00131,PM00175,4339910,RPOD-MONOMER,EG10577 // EG10578,4339934 // 4341392,4341289 // 4342813,+
TU0-6503,PM328,2597901,RPOD-MONOMER,EG11149,2597928,2598500,+
TU0-3162,PM0-3342,770436,RPOD-MONOMER,EG10174 // EG10173,772265 // 770681,773404 // 772249,+
TU00148,PM00516,2475843,RPOD-MONOMER,EG10250 // EG10249,2475869 // 2477224,2477206 // 2478552,+
TU0-13560,PM0-10338,2306663,RPOD-MONOMER,EG12070,2304994,2306637,-
TU0-6553,PM178,4231639,RPOD-MONOMER,EG10550,4229907,4231256,-
TU0-1201,PM00379,1840332,RPOD-MONOMER,EG10372,1840395,1841738,+
TU0-14390,PM0-9540,3399378,RPOD-MONOMER,EG10608,3398066,3399109,-
TU00164,PM00226,623950,RPOD-MONOMER,EG10294,622777,623733,-
TU0-13190,PM0-36156,1311722,RPOD-MONOMER,EG11123 // EG11122,1310944 // 1310375,1311687 // 1310914,-
TU0-36402,PM0-36136,4603775,RPOD-MONOMER,G7949,4602898,4603686,-
TU352,PM205,4638824,RPOD-MONOMER,EG10061,4637613,4638329,-
TU00180,PM00251,1229961,RPOD-MONOMER,EG11057 // EG11056,1229990 // 1230409,1230409 // 1231677,+
TU0-36425,PM0-36194,1211346,RPOD-MONOMER,G6600,1210903,1211226,-
TU0-14004,PM0-10342,3819411,RPOD-MONOMER,EG10965,3819451,3820074,+
TU00196,PM00276,1899957,RPOD-MONOMER,EG10567 // EG10568 // EG10569,1900072 // 1901106 // 1901919,1901043 // 1901906 // 1902770,+
TU0-3741,PM00490,4126659,RPOD-MONOMER,EG10590 // EG10582,4127858 // 4126695,4130290 // 4127855,+
TU491,PM591,2632219,RPOD-MONOMER,EG11072,2632254,2633624,+
TU00212,PM00298,1057279,RPOD-MONOMER,EG11815 // EG11814 // EG12195,1057307 // 1058479 // 1061022,1058479 // 1061025 // 1061621,+
TU0-7081,PM0-7421,3086277,RPOD-MONOMER,EG12148,3086306,3087700,+
TU0-12849,PM0-10350,246615,RPOD-MONOMER,G6110 // G6109,246242 // 245961,246502 // 246239,-
TU00229,PM00315,3544427,RPOD-MONOMER,EG12380,3544581,3545897,+
TU0-41801,PM0-44976,1622583,RPOD-MONOMER,EG11644,1622129,1622521,-
TU641,PM741,121650,RPOD-MONOMER,EG10084,120178,121551,-
TU0-7662,PM0-8042,3579134,RPOD-MONOMER,G7758,3579161,3579649,+
TU0-12881,PM0-9892,312029,RPOD-MONOMER,G6167 // G0-10434,311738 // 311598,312001 // 311738,-
TU797,PM00483,4047922,RPOD-MONOMER,EG30098,4047922,4048030,+
TU0-42474,PM0-46175,2051590,RPOD-MONOMER,G7067,2051667,2052983,+
TU0-1461,PM0-1621,3681521,RPOD-MONOMER,EG20044,3680184,3681470,-
TU875,PM176,3514274,RPOD-MONOMER,EG11030 // EG11871 // M004 // EG10204,3510656 // 3511653 // 3512404 // 3513099,3511660 // 3512411 // 3513081 // 3513935,-
TU00297,PM00542,1108501,RPOD-MONOMER,EG11885 // EG11886,1108558 // 1110086,1110093 // 1112629,+
TU0-13327,PM0-46242,1645900,RPOD-MONOMER,EG10228 // G6835 // G6834,1645644 // 1645370 // 1645198,1645874 // 1645660 // 1645347,-
TU0-12936,PM0-10221,467576,RPOD-MONOMER,G6247,467607,468065,+
TU00313,PM0-10209,149630,RPOD-MONOMER,EG11746 // EG11675,147944 // 148807,148795 // 149601,-
TU0-8267,PM0-10248,1821516,RPOD-MONOMER,G6937,1821539,1822426,+
TU0-42519,PM0-45926,4019932,RPOD-MONOMER,EG11479 // G7808 // G7806,4020759 // 4020241 // 4019968,4021535 // 4020756 // 4020237,+
TU00332,PM583,2702245,RPOD-MONOMER,EG10270 // EG10857,2700503 // 2701405,2701408 // 2702085,-
TU0-8335,PM0-8715,2693789,RPOD-MONOMER,EG11373,2693823,2695379,+
TU0-42547,PM0-46297,1445373,RPOD-MONOMER,G6706,1444402,1445307,-
TU00351,PM0-7821,2744276,RPOD-MONOMER,EG10880 // EG11023 // EG11153 // EG10915,2742205 // 2742594 // 2743392 // 2743959,2742552 // 2743361 // 2743940 // 2744207,-
TU00005,PM00007,289564,RPOD-MONOMER,EG10067,288525,289529,-
TU0-14761,PM0-10408,637916,RPOD-MONOMER,EG11385 // EG11384,638976 // 638168,640541 // 638731,+
TU0-13818,PM0-9366,3134425,RPOD-MONOMER,EG12883,3132894,3134393,-
TU00021,PM00028,3408268,RPOD-MONOMER,EG11311 // EG10317,3408302 // 3409293,3409267 // 3409589,+
TU0-13041,PM0-46235,793974,RPOD-MONOMER,G6396,793996,794145,+
TU0-4783,PM0-5023,4460861,RPOD-MONOMER,G812 // EG11417,4457923 // 4458545,4458387 // 4460683,-
TU0-14235,PM0-9690,3079914,RPOD-MONOMER,EG11291,3079935,3080693,+
TU00037,PM00046,4255110,RPOD-MONOMER,EG10533 // EG11491,4255138 // 4255765,4255746 // 4257144,+
